initial_utterance,tagged_utterance,tag
"Larisa, не нужно свои влажные фантазии здесь озвучивать, постыдились бы. Хотя, что я хочу от человека, у которого в голове пусто. Держите, Вам пригодится","Мария, Чё жрать не даёте???",open_question
"Моя ба Моя ма (ее дочка) мне рассказала, что бабе не нравилась ее внешность и что на многих фотографиях она вырезала себя, свой нос или свое лицо.",Так чья внешность не устраивала бабушку ?,open_question
"Моя ба Моя ма (ее дочка) мне рассказала, что бабе не нравилась ее внешность и что на многих фотографиях она вырезала себя, свой нос или свое лицо.",Её собственная или её дочери ?,open_question
"Алёна, ну она вдохновляет и кадр художественный","Юлия, кто же маме понизил самооценку?",open_question
"Alexandra, так что насчёт губ?","Sergey, зачем вам мужские губы?",open_question
"Альфия, с блаженными диалогов не веду.","Макс, да кому нужен твой диалог?",open_question
Конкурс и экзамены это разные вещи.,"Макс, тогда мне непонятно какой конкурс?",open_question
"Светлана, так у этой актрисы тоже горбинка)",Ну и где же сходство?,open_question
Очень милая и симпатичная !!!,"Юлия, а как вы так сделали?",open_question
Дайте до детства плацкартный билет. 2009 год,Как возможно купить?,open_question
"папа в Японии часто ездил заграницу, был мастером нескольких боевых искусств (тхэквондо, хварандо и т.д.)",Почему был?,open_question
"Кристина, у меня аналогичная ситуация, в моей семье никто не пил, в том смысле, как это у нас понимают в России, рюмочку другую по праздникам можно, Но не более","Марина, что плохого в хорошем алкоголе??",open_question
"Это я с корешем в Воркуте, 1991 год",Кто из вас кореш?,open_question
Мама,"Ох, что же ты задумала?!",open_question
"Валерия, я никого не драла","Валерия, чем вас так обидели?",open_question
"Марина, не верить, а принимать, если не можешь расставаться с человеком.","Неля, насколько надо себя не уважать?",open_question
у нас в школе не любили детей у которых было собственное мнение...,"Иван, ха! А у кого любили?",open_question
"Диана, и что? Он пишет, что через голову нельзя.","Диана, а кто мне запретит?",open_question
Pelican,Чё ждёшь?,open_question
Разминаюсь.,Какая у тебя цель?,open_question
Спасибо. Но я баню не очень.,Почему?,open_question
Не надо… я сам положу.,"Слушай, а ты не мог бы мне молока принести…",open_question
Не факт.,А ты до скольки собираешься с голым торсом играть?,open_question
"Мам, у тебя один ответ всегда!","Ань, ну а как ты жить-то хочешь?",open_question
Да не.,Чё не?,open_question
Ты как вообще?,А ты как?,open_question
Ты чё?,Чё приехала?,open_question
"Натах, только не сейчас.","Ань, ну что ты хочешь?",open_question
The Knight of Hope,"При нажатии на видео загружается другой сайт, в чём проблема чтоб загрузить видосик сюда прям на реддит ?",open_question
Рюкзаки общественном транспорте,Зачем вообще телефон в транспорте доставать?,open_question
Проблема десяти тысяч математиков,Зачем они в магазинах ?,open_question
Получил бан 3 дня за фразу из Morrowind,"Считаете, что тотальная цензура лучше ?",open_question
"Парусная революция 15 века. Идеальный рецепт парусного вооружения. Зачем нужен был парус-""носовой платок"" на носу?⁠⁠",Как делали железные мачты?,open_question
Ох уж эти языки,"подскажи, как по другому можно произнести шмэтерлинг ?",open_question
Обычный день где-то в Подмосковье,А как этот трек называется ?,open_question
Образовательное,Почему время начала замазали?,open_question
Никто даже не чухнулся,"Они просчитались, но где….?",open_question
В Чехии придумали ультразвуковой кухонный нож.,что будет с пальцами?,open_question
В кафе больше ни ногой.,а почему именно соды ? ))),open_question
Азиатская дичь,И давно в Китае молли юзают ?,open_question
"А ты тоже в детстве боялся робота зайца из ""Ну, Погоди!""?",Где оригинал ???,open_question
"Сестренка, я и наш любимый кот 1996",Кто из вас кто?,open_question
Любовь не сыграть.,"Юлия, подскажите, пожалуйста, через какое приложение в цвета окрасили?",open_question
Хочется в это время...,"Мира, зачем?",open_question
Дальше живу без неё уже 34 года,Как же так?,open_question
Мои бабушка и дедушка. 1980-е,Кем написаны слова на фото бабушки?,open_question
Мой дедушка Метелев Андрей Петрович 31.10.1896 г. р. воевал в первую мировую,"Капитолина, за кого воевал?",open_question
"Мой дядя Анатолий с другом в годы учёбы в железнодорожном техникуме, ст. Микунь, 1955 год",А кто из них дядя?,open_question
"моя мами года, увы, я не знаю на фотках ей лет 15-20, точно не знаю",Как сделать чб фото- цветными?,open_question
Вот действительно модные выглядели немного по другому,А вы чего такая злая?,open_question
Мамуля Примерно 20 лет,Что она такого вкусненького съела?,open_question
Последние каникулы моей мамы (уже не студентки) перед выходом на работу.,Кем мама работать пошла ?,open_question
мои прапрадед и прапрабабушка,Откуда они родом??,open_question
"Ма На батином мотоцикле на соревнованиях по мотокроссу, тот был мотогонщиком в категории про.","А почему Тот, почему не отец?",open_question
"Школьный выпускной моей тети (крайняя слева)1993 год Анонимно, пожалуйста",А сколько лет вашей тёте на фото?,open_question
Таланты в метро,Про пары вы имеете ввиду?,open_question
Бабушка на стиле))),Что это у неё на голове?,open_question
"Очень специфичный вкус на салатовой ветке, анон пж",Сколько опыта за него дадут?,open_question
У неё все хорошо. Ей сейчас 94. И она по прежнему красива и умна,"Валерий, вы её знаете ? И как её зовут?",open_question
экстрасенс просто))),"Валерий, а от куда вы это знаете?",open_question
"Подпись :""Автор дурачок""","Кристина, почему?",open_question
Яяя в канадееее,"Вселенная, ты че там делаешь?",open_question
Сбермаркет не перестаёт удивлять,А причём тут сбермаркет? И как ты вообще понял что это сбер?,open_question
Сбермаркет не перестаёт удивлять,А чо без косы?,open_question
Сбермаркет не перестаёт удивлять,"Чел, где такой плащ купить?)",open_question
Беляево 9:00 Что случилось ?,Да где вы тут Билли Айлиш увидели?!,open_question
"Gordon, завязывай бояться","Tural, а кто в вашей фантазии правит мирами?",open_question
"Скоропостижная... Сердце, тромб, мозговые дела... Выставлять на обсуждение умерших, всё же не стоит","Екатерина, почему не стоит?",open_question
"Добрый, ну Выхино это каждый день там такое, специально для этого расписание поездов переделали, а для всего остального метро это коллапс",так что на калужской то случилось?,open_question
"Автор поста, а почему вы скрываетесь, кто вы? Знаете, сколько в Москве женихов этих? Объявитесь, и у вас прям очереди из них выстроятся","Катюша, я автор. Вопросы?",open_question
"Я ЗА такие ногти,и кто вам вообще сказал что это маник такой? у меня типсы такие дома лежат","Маргарита, типо съемные ?",open_question
А как вам такой маникюр?,"Жесть, а как она зубы чистит?",open_question
"встретил ребят на бкл, очень надеюсь что лысый победит, потому что в картах он проигрывал",А где тут лысый?,open_question
"Маме 24, и мне 5 лет. Дальше живу без неё уже 34 года Люблю тебя, Мам",Как вообще возможно жить без мамы?,open_question
примерно 2003г. Одно из любимых фото с тетей,А почему примерно?,open_question
"Мама и папа. Город Кисловодск, 1998 год",Кем папа и мама работали в то время ?,open_question
"Если спрашивают, как я добилась такой талии просто показываю ее фотографии)",Удалось ли с возрастом сохранить талию?,open_question
катится этот город,"Артём, а в чём проблема?",open_question
"Kyrikos, коллега",А как называется программа?,open_question
"Здравствуй, доча.",Здравствуй.,opening
"О! Приветик, Жень!",Привет.,opening
,"О! Приветик, Жень!",opening
,"Здравствуй, доча.",opening
,Здравствуй.,opening
"Привет, я Катя!",Аня.,opening
,"Привет, я Катя!",opening
Здрасьте!,Здрасьте,opening
,Здрасьте!,opening
Здрасьте!,Здорово.,opening
Привет.,"Я Коля, мы танцуем вместе польку.",opening
,"Здравствуй, Николай!",opening
"Здравствуй, Николай!","Здрасьте, Станислав Ильич!",opening
Алло.,"Ксюш, привет!",opening
,Алло.,opening
Привет!,Здорово!,opening
,Добрый вечер.,opening
Добрый вечер.,Добрый вечер.,opening
"Мои бабушка и дедушка с моими мамой и тётей.На фото надпись: ""Гжатск, 1933 год""",Привет Вам из Гжатска! Ныне Гагарина.,opening
"Семья моего прадеда, Мордовская АССР, начало 1930-х годов.","Шумбрат Мордовия. Привет из села Буды, Ковылкинского района, посёлка Качалаево",opening
"Мои прапрадедушка и прапрабабушка по материнской линии. 1910-е годы, Тюменская область.","о, это наши земляки! привет, Тюменская область",opening
"г. Смоленск, Реадовский парк. 1982 год","Смоленск, привет!",opening
"С папой 1 фото сделано в 2008 году в Чебоксарах, на нем мне 2 года, папе 36 лет",Привет землячке..Залив у нас что надо...,opening
"С папой 1 фото сделано в 2008 году в Чебоксарах, на нем мне 2 года, папе 36 лет","о, чебоксары, привет",opening
"Александра, я же написала, что по галахе так.","Ольга, привет,соотечественники!",opening
"Lolita, ЕКБ РУЛИТ!","Марина, Привет Землячка !",opening
"Елена, и я)","Ирина, привет землякам из ЕКБ.",opening
"Людмила, от Севастопольцев вам","Анатолий, привет ))",opening
"Лариса, МОЛОДЦЫ!!!","Лариса, Омское РУ. Привет!",opening
"Лариса, Омское РУ. Привет!","Александр, привет",opening
Нас в Тагиле тоже есть китайская стен,"Татьяна, землякам привет",opening
Тем временем горьковское направление которое самое загруженное,"Антоха, привет с Электростали. Утренние электрички после Железнодорожного, как на Выхино по стереотипу)",opening
"очень понравился ,найдисьвышел на крылатской агон",Здравствуйте)Это я так понимаю бониха в кепке?,opening
Электричка на московском диаметре D4 должна была идти по маршруту Фрязево-Апрелевка,"Карасёва, здравствуйте",opening
"Лана, здравствуйте)","Александр, добрый вечер.",opening
"Александра, но ведь и одеваться как захочешь тоже зачастую не культурно","Александра, здравствуй) тебе уже есть 18?",opening
Тебе не светит!,"Ольга Владимировна, здравствуйте. Таблетки пьёте?",opening
Привет от эскалаторной службы,Здравствуйте,opening
Привет от эскалаторной службы,Коллега) здравствуйте),opening
"Лежан, очень взаимно","Ксения, здравствуйте",opening
"8:30 Бабушкинская, неизвестно что произошло","Здравствуйте, я представитель Орифлейм.",opening
Шикарненько,Здравствуйте Дарья!Не хотите ли погулять в парке? Я Вам куплю беляшей с мясом.,opening
"Andryusha, это Отец мой","Артур, здравствуй, брат! я так давно тебя искал",opening
Андер,"Дмитрий, добрый день здравствуйте",opening
Студенты решили позавтракать прямо в вагоне метро,"Автор этой фотографии, здравствуйте! Пожалуйста, напишите мне в личные сообщения... Отзовитесь!",opening
анонимно пожалуйста.,Здравствуйте Всем ! С Новым Годом ! Всем желаю счастья и здоровья.,opening
Обычные вроде как,"Olenka, здравствуйте какая вы красивая",opening
"На, для тебя это что-то особенное?","Aziza, добрый день:)",opening
"Aziza, добрый день:)","Александр, добрый)",opening
Мой папа с 65 года рождения.,"Зоя, добрый день) Дедушка у меня 1959 года рождения",opening
Какой красивый парень! Хотелось бы ещё фото в настоящем времени,"Марина, добрый день Фото с бабушкой) здесь уже 90-е годы",opening
"2003 год, Ильменский фестиваль, я со своей бандой... Один скин, рокер и два панка",Привет землякам!,opening
"Меня зовут Мишаня, а это Дана, мне 5 лет. 2001 год, Харьковская область","Привет, как вы там, Мишаня, Даня?",opening
"Aida, я поняла это просто увидела, что вы учитесь там в Китае.","Лариса, Бурятия родная привет! как она там?",opening
"Мила, привет из Шарыпово","Мила, доброе утро из Шарыпово)",opening
"Это Я, 1996 год. г. Назарово. Красноярский край.",Привет из Назарово,opening
Очень похожи друг на друга,"Мария, здравствуйте) Нет )))",opening
"Марина, Здравствуйте. Это случайно не на Дальнем Востоке?","Алена, здравствуйте! Это Крым.",opening
"Ольга, неожиданная встреча)","Елена, привет!",opening
Крокодил Гена и я школьные фотосессии как отдельный вид искусства 2006 г.,Здравствуйте желаю вам удачи во всех начинаниях,opening
Я и брат. Лето 1994 года. Мы у бабушки на даче в п. Кукуштан (Пермский край),"Землячка , привет!!!",opening
Землякам привет!,"Михаил, и вам привет",opening
"Ольга, и из Златоуста",Привет землякам),opening
"1997 год, Челябинск, мы с мамулей в жаркий летний день отправились в цирк",Привет Челябинск,opening
Последние каникулы моей мамы (уже не студентки) перед выходом на работу.,Привет красавица давай познакомимся,opening
"Я справа и подруга Наташа, 2000 год, мне 16 лет. Краснодар, легендарная дискотека Quadro",Привет одногодке!,opening
"Татьяна, я в 16 тоже ребенок ребёнком была.","Татьяна, здравствуйте рада Вас видеть!",opening
"Село Асакасы, Чувашия.",привет из Чувашии,opening
"Наталья, ого, Владивосток, привет землякам","Ольга, привет 50 лет прожила во Владивостоке!",opening
"Сидит второй слева прапрадед Бисарнов Дмитрий Васильевич, городской судья г. Оренбург, статский советник.","Здравствуйте, земляк!",opening
"Александра, жиза","Ой, землячка! Приветик!",opening
"Мой папа, 18 августа, 2006. Наш персональный Джон Леннон","Привет, Андрей",opening
"Марина, а что другие люди не могут зайти к автору и там найти и скинуть?))) сразу обман?)","Лена, здравствуйте.",opening
"Крым, п.Коктебель, 1993","Из Крыма привет, тут не плохо",opening
"Анастасия, Здравствуйте!!! Вы случайно не знаете как Remini оплатить в России?","Алла, здравствуйте, не знаю",opening
"2000 г. Республика Башкортостан, Санаторий ""Берёзки""",О это наши края) привет),opening
"Родители, 2000 год",привет))милые и счастливые)),opening
"Инна, да",Всем привет) мы езиды,opening
Такой далёкий и близкий 2000 год Моя свадьба,привет)))барби и кен),opening
Так мило),"Анастасия, привет)",opening
Оба родились в 1880х годах в Брянской губернии.,Привет всем брянским жителям!,opening
Маленькая я с любимой мамочкой) 2001 г,Приветик,opening
Моя мама Таисия,"Катюша приветик, а мама у тебя полукровка???",opening
"О, Уфа! Привет!","Никита, привет",opening
"Никита, привет","Елена, привет)",opening
Саня,"Саня, приветик, заюш",opening
Ребят это моя лучшая подружка,"Victoria, да это я всем привет",opening
"Ильмира, и лицом вниз","Ильмира, привет) мы не знакомы? Лицо знакомое))",opening
Привет от эскалаторной службы,Привет всем от службы электроснабжение,opening
"Екатерина, да, я","Данил, приветик",opening
Ищу парня в серых спортивках сегодня на синей ветке примерно в 18 с чем-то,всем привет),opening
до этого видоса этот пьяный орал на какого то репера но после устал и приуныл,"Всем привет, нужен один ответственный человек, который готов сделать несколько татуировок, эскизы мои, бесплатно",opening
"Наблюдаю, как невоспитаный ребенок постит фотку человека в вагоне, сделанную без разрешения.",Всем привет!,opening
Ну человек за гигиену полости рта,"Алиса, и тебе привет)",opening
"Олег, хахахах, почему?","Олег, Приветики, ты чё сменил имя?",opening
"Anton, ты во время чел.Умеешь ловить моменты","Анастасия, приветик а ты класная",opening
"После предыдущего поста, думала, что это про девушку пишут","Варвара, приветик красавица",opening
Ночные бабочки,"Анна, приветик",opening
"Маришка, если хочешь можем дружить","Маришка, доброе утро)",opening
"такой хорошенький ехал на крестьянской заставе, найдись",Привет),opening
много хорошего в одном человеке!,"Здравствуйте, два хот дога и один милкшейк",opening
"Вика, доброе утро)","Александр, здравствуйте",opening
"Руслан, ну приветик","Анастасия, здравствуйте Анастасия",opening
"Августин, я только по девушкам","Августин, привет)",opening
"Влад, возьми кредит и не плати","Слава, привет Славик",opening
"Слава, привет Славик","Егор, привет)",opening
Сейлор мун анон,"Настёна, Насть привет)",opening
"Эй, Арнольд!",Здравствуйте. Можно вас узнать?,opening
"Светлана, блин, я прочитала эротично, увидела ваш ком-й, вернулась к посту и поняла...","Яна, привет!!)",opening
У обезьянки пропала мама,"Анастасия, здравствуйте:)",opening
"Алла, красава","Zaira, привет)",opening
"Наташа, какой крутой кадр поймали","Александра, добрый день!",opening
"Олег, потрясающе","Олег, добрый день!",opening
"Ольга, наверное. Может автор знает...","Наталья, Добрый день!",opening
Это мой прадед Романов (Михайлов) Михаил Иванович. Служил в царской армии.,"Ирина Кашина, Добрый день!",opening
"Я в футболке Slayer, что-то рисую, слушаю музыку на ""Легенде"" вместе с кошкой Люсей (2001-2018) и крыской.",Казахстан привет с Уральска!,opening
"Конец 90х. Московская область, Монино. Колядуем с другом.",Ооо привет с Монино),opening
Привет землякам)) и ковер тоже был такой,"Лена, привет",opening
"Дааа, такие подиумы от сцены в конце 90х были по всей стране:)","Татьяна, привет от ростовской области))",opening
Дорогая матушка),Светик привет,opening
"Я90-е годы, Пермская область (сейчас Пермский край). г. Соликамск",Привет из Перми))),opening
"Я90-е годы, Пермская область (сейчас Пермский край). г. Соликамск",Привет от Чусовлян),opening
"Я90-е годы, Пермская область (сейчас Пермский край). г. Соликамск","Ого, привет из Соликамска!!!",opening
"Мой первый бизнес. Торгую картошкой Калуга, 2000 год","Привет землякам из Обнинска, Калужской области",opening
"Мой первый бизнес. Торгую картошкой Калуга, 2000 год",Привет из Калуги тоже!,opening
"им будет с кем играть, друг с другом, сильно докучать старичку не будут, но тем не менее и ему уже будет повеселее и не так скучно","Мег, добрый день!",opening
Моя бабушка Макина Апполинария Васильевна (1899-1989). Родилась в Ивановской губернии,Привет из Иваново),opening
Мама в Питере),"Привет, тёзка",opening
"Ольга, и у меня в этом же году были такие кроссы",Привет из Ангарска.,opening
"Ellise, Тольятти. Но школа 20 считается лучшей в городе, может поэтому, для имиджа.","Julia, привет из тольятти!",opening
"Julia, привет из тольятти!","Ксюша, привет!",opening
"Евгения, ой , как же Вы чудесно сказали , лучше и быть не может","Ольга, привет",opening
Наша свадьба. Днём ранее). 06.10.2000. Тоже брови ниточкой.,"Алёна, Привет из Чувашии!",opening
"Алёна, землякам Привет 2 шк смотрю, муж,его и мои сестры и тети там учились","Валерия, привееет!",opening
"Я с родителями Приморский край, 1996 год.",Привет из Приморского края!,opening
"2004 год, я слева, с другом в гостях у хорошей знакомой, фанаткой Курта Кобейна, нам тут по 16 лет...",Нижний привет!,opening
красотки из 90-х)моя мама (справа) и ее подруга,"Девочки, привет!",opening
Уфа родимая,"Владимир, добрый день, она самая",opening
"Владимир, добрый день, она самая","Шамиль, добрый день",opening
"И на колхозке были такие ларьки да и везде.Привет, земляк ))","Danielle, привет!",opening
"Я, 33 года назад. Самарская область.",Ну привет,opening
"Я, 33 года назад. Самарская область.",Привет Землячка,opening
Привет из Самары,"Привет, земели",opening
"Автор, привет из Тольятти!","Натэла, привет !",opening
Маме тут 18,Добрый день!,opening
"Ну голубые и голубые , что теперь не всем же быть нормальными мужиками .","Евгений, приветствую!",opening
Выдержка большая была. Поэтому все с каменными лицами на фотках.,"Елена, приветствую фотографа!",opening
"Kyrikos, коллега",Добрый день.,opening
"а чем вы занимаетесь,автор?","Катя, Добрый день! Менеджер и дизайнер мебели",opening
зачем,"Io, добрый день)",opening
"ты очень красивая (у окна), пару раз встретились взглядами ) Хорошего тебе дня",Девчонки добрый день,opening
Угарная одежка у чела,"друзья мои , всех приветствую",opening
"Лиля, они ему жмут?","Diego, Приветствую тебя! Hola!",opening
"Катерина, я тут живу)","Рома, ооо)) привеет!))",opening
"Регина, поглядела, вот уж действительно, кто бы говорил","Варвара, здравствуйте)",opening
"Варвара, здравствуйте)","Александр, и я Вас приветствую",opening
"Дмитрий, на вкус и цвет фломастеры разные.","Прасковья, приветствую, наткнулся на пост в 3:37 утра",opening
А здесь есть бургеры?,"Бургеры были у нас дома, но папа решил устроить семейное автопутешествие.",other_answers
Одобряем или перебор?,Одобряем,other_answers
Вас тоже это бесит?,Иногда,other_answers
Решил отметить наш отъезд?,Просто решил встать пораньше и сделать тебе приятно.,other_answers
"Я не знаю, может, отменить всё?","Может, вы встретитесь, и ты поймешь, что не готова к этому шагу.",other_answers
"Что за техника такая диковинная, как называется?....","На вскидку похоже на подсолямидо, часто практикуется в Питере, у местных можете спросить, я не оттуда, поэтому точно не уверен.",other_answers
Вместе с нами?,Вместе с ним,other_answers
А про навигатор слышали?,"На один навигатор нельзя полагаться, вдруг сломается или перестанет видеть спутник?",other_answers
Можно мне в этом доме хотя бы раз спокойно помыться?!,"Нужно выезжать, а то мы все пробки по дороге соберем.",other_answers
Или вы староверы?,"Я вообще прочитал, что в Москве всё перекопали, так что карта будет нелишней.",other_answers
"Будешь чипсы, пирожное?",Я мечтаю попробовать пиво…,other_answers
А вдруг он их куда-нибудь выложит?,Ну ты без лица фоткай.,other_answers
А если бы открыла Алла?,"Я бы сказал, что ошибся дверью.",other_answers
"А ты что с картой, потерялся?",Мы с родителями в путешествие едем.,other_answers
"Вы что, в Москву едете?","Вообще-то в Минск, но Москву тоже проезжаем.",other_answers
"Даш, а твои родители вообще в курсе, что ты поехала куда-то одна?",Ну я же не одна.,other_answers
Не хочешь заплатить сначала?,"Я ребенок, у меня нет денег.",other_answers
А где твои родители?,Нет у меня больше родителей.,other_answers
Ну ты как?,Лучше всех.,other_answers
Где посылка?,Вот!,other_answers
Немного?!,"Хорошо, много.",other_answers
А почему вы тогда никому не рассказали о «гитаре»?,"Потому что тогда, мне пришлось бы рассказать, почему я вообще взялся перевезти «гитару».",other_answers
"Два года ходим к вам, деньги платим, а на конкурс не попадаем?","Нет, ну в принципе вы можете поехать, я просто не думала, что вы захотите.",other_answers
На фига ты вообще взял гитару?,Я хотел тебя удивить.,other_answers
На фига?,Ну просто на память о поездке.,other_answers
"Ты удивил меня, когда решил поехать, удивил, когда мы потеряли Петю… как дальше будешь удивлять?","Это же Петя, он дальше первого фастфуда не уедет, просто заберём его оттуда, и все.",other_answers
Сейчас-то что за негатив пошёл?,"Да потому что я не хочу стрессовать всю жизнь и думать, сколько я должна весить, чтобы ты меня не бросил?",other_answers
"Ань, ну а как ты жить-то хочешь?","А я не хочу жить, как ты!",other_answers
Как мама?,Хорошо.,other_answers
Решил отметить наш отъезд?,Просто решил встать пораньше и сделать тебе приятно.,other_answers
Какой еды ты в диком лесу этим ножом порежешь?,Ну дичь.,other_answers
Какой еды ты в диком лесу этим ножом порежешь?,Кабана можно убить.,other_answers
"Пап, кстати, когда мы идём в лес выживать?",У меня отпуск! Отдых от работы!,other_answers
"Пап, кстати, когда мы идём в лес выживать?","Я не собираюсь лазать по лесам, максимум, куда я полезу - это в холодильник.",other_answers
"Пап, кстати, когда мы идём в лес выживать?","Ты, конечно, извини, но я планирую все две недели сидеть дома на диване и смотреть телик.",other_answers
Кто это?,Моя девушка!,other_answers
А ты чего без звонка?,"Ага, тебе позвонишь и всё - ты сразу тю-тю.",other_answers
Откуда у тебя деньги?,Я устроился на работу!,other_answers
Куда собрались?,"В Минск, на конкурс Вари.",other_answers
Вместе с нами?,"У детей каникулы, у меня отпуск, устроим настоящее семейное автопутешествие!",other_answers
Ну вот он как привёз?,Вот так привёз!,other_answers
Почему?,В ней жарко.,other_answers
Сколько?,"Ну явно больше, чем здесь!",other_answers
Вы музыкант?,Менеджер по управлению сложной зерноуборочной машины.,other_answers
Ты кто?,Даша.,other_answers
"Давай я лучше в машину тебе закину, ну, чтоб меньше вопросов было?",Не надо… я сам положу.,other_answers
"А Даша, это кто?",Это моя подружка.,other_answers
И давно?,Давно…,other_answers
А ты его взял?,"Домкрат идет в комплекте с любым автомобилем, как запаска, баллонный ключ, аптечка…",other_answers
"Но у нас же есть домкрат, да, Эдик?","Конечно, есть… но, возможно, он есть в гараже…",other_answers
"Но у нас же есть домкрат, да, Эдик?","Я просто собирал вещи по списку, домкрата в списке не было.",other_answers
"Петечка, мы так переживали за тебя! Тебя никто не обижал?","Все хорошо, мам, тети меня накормили, напоили…",other_answers
Какой проблемы?,"Женя сказал, ты заболела.",other_answers
Как это?,"Сказал, толстая я.",other_answers
Каким смурфиком?,Синим.,other_answers
Ты чего опять чай до краёв налил?,Моя вода - твоя вода.,other_answers
Ты чего опять чай до краёв налил?,Я щедрый.,other_answers
Может прогуляешься?,Я гуляю.,other_answers
А ногами?,Тюлени не ходят.,other_answers
Тебе сложно мусор выкинуть?,Пойду на улицу - выкину.,other_answers
Тренировку оплатили?,У меня пробное занятие.,other_answers
А пропитка какая?,Крем-брюле.,other_answers
"А может, я... в интернете пишу?",Мне же тоже партнёр нужен.,other_answers
А чего тогда в обжоры пошёл?,Спонсора найти.,other_answers
"Типа, деньги тебе давать?",Это просто так называется - спонсоры.,other_answers
Что за песня?,Фристайло.,other_answers
А у кого получилось?,У нас может получиться.,other_answers
Ты меня вообще хоть разподдержала?!,"Ну ты сама обещала: не уеду, пока тебя в порядок не приведу.",other_answers
"А если не гнать, на что жить?","Могли бы, не знаю, стартап открыть досочный.",other_answers
Почему?,"Ни денег, ни желания.",other_answers
"Может, лучше с бойфрендом твоим?",Мы же тебе не чужие люди.,other_answers
Как это?,Вот так это.,other_answers
Как?!,"Как-как, через овраг!",other_answers
Почему?,Не судьба.,other_answers
Чего вы мне свой самогон суёте?,"Думал, так лучше будет.",other_answers
Чё приехала?,Мне пойти некуда.,other_answers
Ты развиваться дальше хочешь?,Я уже развился!,other_answers
Что нет?,Просто у нас с папой одна песня вдетстве была.,other_answers
"Ты мне мстишь, что ли?!",Я просто плеснула.,other_answers
"Анечка, а ты кем работаешь?",Кондитер-технолог.,other_answers
Кто это?,Очень неопределившийся человек.,other_answers
Кто это?,Без всяких сомнений - очень симпатичная девушка .,other_answers
А как вы завязываете шнурки?,Не умею.,other_answers
как вы к такому относитесь? анон,не отношусь,other_answers
как вы к такому относитесь? анон,Никак.,other_answers
Угадай кто?,Соболев?,other_answers
Угадай кто?,Панин?,other_answers
Кто так же уходит красиво ?),Креативно,other_answers
С каких пор это норма ?,"Ничего не понятно, но очень интересно...",other_answers
Как называется этот стиль?,"Роман, Скэтман Джон?",other_answers
Чего? А по-русски можно?),"Ева, ""ух, какие милые"". Думаю, как-то так, но это неточно",other_answers
"Крестьянская застава, лежит в отключке, ваши варианты?","Документов нет, притворяется",other_answers
жена киркорова?,Его мама,other_answers
"Ислам, где ты увидел идеологию ненависти?","Фёдор, нигде))",other_answers
Интересно о чем он думал?,"Ни о чм он не думал, захотел и сделал...",other_answers
"Женя, почему так мало скобочек?)))",Да без понятия))),other_answers
это что еще такое?,Nevermore,other_answers
Вот такое вот чудо. Что за аниме?,ЭТО ЖЕ ПИВНАЯ ФЕЯ ИЗ СКАЗКИ МОРОЗКО!!!))))))),other_answers
так модно ходить?,Никаких мод не обнаружено),other_answers
так модно ходить?,Не очень,other_answers
"Ирина, а кто это?","Валентина, актёр с сериала ""Солдаты "" Тимур Казнов",other_answers
Атмосферное фото. Какой год за окном ?,"Алексей, 1953-й",other_answers
Да и смысл делать неприятно?,"Евгения, банки надо ставить правильно, в правильное время, тогда помогут.",other_answers
"Виктория, от чего?","Алена, медицина мож и шагнула , но банки отлично работают и сейчас !",other_answers
